,SSQ,mag_mean,mag,mag_sum,pulse_count,pulse_time,max_pulse_time,pulse_flow,max_pulse_flow,time
Allen_Chair,13.92,63.5853797272,24289.6150558,20900.6440699,41,156,16,8984.22720454,1132.07211271,3:0
Allen_JumpGlide,31.04,50.8760620461,28439.7186838,23114.6839918,65,222,21,10601.7088366,1262.19681569,4:30
Allen_Rope,9.54,55.8878093533,28279.2315328,23335.1013974,81,188,8,8768.01162129,1177.37849908,4:0
EliseCheng_Chair,7.58,71.0340146043,19108.1499285,15887.0988719,37,114,11,5995.7576495,730.778104897,2:0
EliseCheng_JumpGlide,29.08,67.7300432362,29936.6791104,25326.4964105,57,161,9,9721.5186681,1255.93550427,3:30
EliseCheng_Rope,17.12,65.8376212625,33116.323495,27897.5736652,79,204,11,10063.284514,517.811934745,4:0
Fanger_Chair,26.66,47.8110485252,19600.4773724,15780.3463659,30,70,20,2685.08676329,1357.98789066,3:0
Fanger_JumpGlide,76.0,58.281207724,37941.0662283,32229.7264363,82,261,18,11603.3406884,1561.49193966,5:15
Fanger_Rope,93.12,70.4710568347,77518.1625182,70593.9328478,170,438,19,23705.412393,1412.08374437,9:0
Fanny_Chair,0.0,72.6257592604,30284.9416116,26755.7692373,46,186,21,10238.1419482,1460.22983867,3:15
Fanny_JumpGlide,17.12,69.2568051595,40515.2310183,35251.6192605,69,240,14,12369.4828703,711.70128187,4:45
Fanny_Rope,17.12,62.2603962724,46197.2140341,40227.175952,108,272,14,14694.4641933,1535.49218844,6:0
Johnny_Chair,7.58,41.6975706419,19180.8824953,15321.3295626,52,158,19,8272.79871085,1453.09719936,3:45
Johnny_JumpGlide,17.12,71.4495404285,51086.4214064,44785.7686684,104,276,10,16193.6442407,1119.90290581,5:45
Johnny_Rope,17.12,63.4689449952,37573.6154372,30885.0139137,103,255,10,11485.1478381,743.367448048,4:45
kao_Chair,7.58,48.5677344844,17241.545742,13887.4174217,45,126,11,6149.26777292,737.17817099,2:45
kao_JumpGlide,43.0,47.581386208,24885.0649868,21558.415555,72,188,10,7602.22506791,935.172636028,4:15
kao_Rope,38.62,51.8198143868,29692.7536437,23772.5795936,82,215,11,9676.14362277,631.252994824,4:45
Lei_Chair,23.46,58.8457005559,21655.2178046,17390.0016383,49,145,13,7693.88822904,1177.79115209,3:0
Lei_JumpGlide,17.12,55.1898350561,29747.3210952,25515.6400581,68,200,16,9161.69914129,944.725877193,4:15
Lei_Rope,17.12,58.5355131215,30906.7509281,25700.3173226,83,212,9,9510.54862174,515.575218647,4:15
Meng_Chair,0.0,56.6580130524,14957.7154458,11886.4049415,24,103,19,5235.07779767,1553.81722541,2:0
Meng_JumpGlide,0.0,50.7878266159,22803.7341506,18641.522743,59,170,15,6918.27049432,1088.88459905,3:30
Meng_Rope,0.0,64.7363335508,31073.4401044,25016.5288157,69,198,11,9488.30973684,673.808834074,4:0
QianChen_Chair,0.0,39.320862092,17851.6713898,14694.4400506,43,164,18,8342.91822291,1426.20593464,3:45
QianChen_JumpGlide,0.0,60.5061568831,29648.0168727,26050.8695641,70,198,13,9102.65659229,794.665847981,4:0
QianChen_Rope,13.92,56.9588462272,39130.7273581,32852.8292328,99,295,11,12940.0946745,737.575945348,5:30
Shan-Yuan_Chair,54.5,60.4963161258,23956.5411858,20737.3605905,52,152,18,8117.96788606,1181.13413771,3:15
Shan-Yuan_JumpGlide,57.7,63.5679580096,46086.769557,41163.2953173,97,286,13,15943.7708924,1101.6434312,6:0
Shan-Yuan_Rope,110.24,62.0574080078,61912.6750553,53599.2415597,80,160,14,5122.72948081,896.304262638,8:0
Shiyuan_Chair,7.58,52.9764823142,20660.8281025,17092.7872018,59,141,11,6912.52900857,662.915960393,3:15
Shiyuan_JumpGlide,7.58,51.901361257,30258.4936128,25566.3252934,72,223,17,9469.93510721,1084.12969509,4:45
Shiyuan_Rope,7.58,60.0106222139,47528.4127934,40583.2562574,129,317,11,15186.3081013,945.371249763,6:30
Steff_Chair,71.62,42.2231560757,16551.4771817,13387.0105237,38,148,18,6453.16252136,1494.23335525,3:15
Steff_JumpGlide,9.54,59.4334508968,33461.0328549,28666.0861255,88,220,19,9815.99601307,1154.8789187,4:30
Steff_Rope,134.94,59.2275577222,43236.1171372,38044.6616024,111,285,9,13378.8084003,836.361836765,6:0
Tingwei_Chair,0.0,60.4453280486,16803.8011975,12998.2269544,35,111,11,5461.60586775,957.302005109,2:15
Tingwei_JumpGlide,87.5,56.8287266345,32903.8327214,28685.786339,71,227,20,11113.5400645,1517.92733809,4:45
Tingwei_Rope,101.42,63.999985837,52415.9884005,44906.480309,108,307,13,17163.6278575,1682.25590651,6:45
"Yi-wei,Guo_Chair",0.0,65.5581319777,22027.5323445,19525.2107936,52,141,10,6977.54039887,845.598009293,2:45
"Yi-wei,Guo_JumpGlide",9.54,60.3180069499,34260.6279476,30063.9248644,97,224,10,9816.81233937,747.495910468,4:30
"Yi-wei,Guo_Rope",17.12,61.4623400656,31776.0298139,26692.2417414,79,214,14,8917.22518652,688.424217431,4:15
