,SSQ,mag_mean,mag,mag_sum,pulse_count,pulse_time,max_pulse_time,pulse_flow,max_pulse_flow,time
Allen_Chair,13.92,58.2860862189,22265.2849356,18983.9662786,40,155,16,8168.26036671,1067.27969979,3:0
Allen_JumpGlide,31.04,46.9243121649,26230.6905002,21119.0316553,70,221,16,9751.33119569,907.112535544,4:30
Allen_Rope,9.54,51.3849396728,26000.7794744,21285.700126,82,189,9,8060.80960163,1063.77751732,4:0
EliseCheng_Chair,7.58,65.1635520966,17528.995514,14418.2918857,37,115,11,5429.14050821,649.021318419,2:0
EliseCheng_JumpGlide,29.08,62.0559742686,27428.7406267,23019.8354737,57,161,9,8834.97955286,1151.66906912,3:30
EliseCheng_Rope,17.12,59.7197497935,30039.0341461,25118.4903559,78,204,10,9189.17642918,493.616780055,4:0
Fanger_Chair,26.66,44.1149239323,18087.8584008,14363.2722739,30,68,20,2523.67930111,1353.43672217,3:0
Fanger_JumpGlide,76.0,53.1902660077,34626.863171,29132.9734305,78,265,18,10571.4702202,1412.1902633,5:15
Fanger_Rope,93.12,64.1182454896,70530.0700386,63931.334576,171,443,19,21609.169768,1318.57670783,9:0
Fanny_Chair,0.0,66.6118142371,27777.1265369,24368.2796303,47,187,21,9310.03905259,1291.35289587,3:15
Fanny_JumpGlide,17.12,63.5695541279,37188.1891648,32145.5881103,72,246,15,11246.8920383,691.53494432,4:45
Fanny_Rope,17.12,56.8669382667,42195.2681939,36520.7216098,106,276,14,13399.7473879,1375.00128231,6:0
Johnny_Chair,7.58,38.341938223,17637.2915826,13955.3207904,51,158,19,7674.16158993,1374.64734769,3:45
Johnny_JumpGlide,17.12,65.4934089108,46827.7873712,40767.6299913,105,276,10,14834.1180235,1030.71879721,5:45
Johnny_Rope,17.12,58.4802263299,34620.2939873,28214.8714873,102,253,10,10595.0129947,676.672794901,4:45
kao_Chair,7.58,44.2218072225,15698.741564,12499.5497458,44,128,16,5601.0015253,989.591121921,2:45
kao_JumpGlide,43.0,43.4933504237,22747.0222716,19571.8948348,73,186,10,6857.35462687,838.278762486,4:15
kao_Rope,38.62,47.8539154064,27420.2935279,21696.7161095,81,215,11,8974.74754349,576.804727742,4:45
Lei_Chair,23.46,54.4711024666,20045.3657077,15901.1601193,50,144,13,7116.48765892,1113.68821658,3:0
Lei_JumpGlide,17.12,50.9085065342,27439.6850219,23395.7101071,67,203,16,8433.67376405,875.245056303,4:15
Lei_Rope,17.12,53.7273467672,28368.0390931,23397.9463053,85,210,9,8780.80664922,467.586527929,4:15
Meng_Chair,0.0,52.4014237501,13833.97587,10864.2321735,27,102,19,4821.3580485,1415.82482205,2:0
Meng_JumpGlide,0.0,46.9994882692,21102.7702329,17072.1061538,58,168,15,6374.0410899,1018.88535503,3:30
Meng_Rope,0.0,60.110885548,28853.225063,23034.1235103,71,199,11,8796.2034129,610.357603884,4:0
QianChen_Chair,0.0,36.5236621084,16581.7425972,13523.404254,40,162,18,7750.65204804,1368.64944756,3:45
QianChen_JumpGlide,0.0,55.6119738941,27249.8672081,23809.8386043,67,199,13,8320.77166921,736.496080698,4:0
QianChen_Rope,13.92,52.0349478081,35748.0091441,29776.0602565,96,295,9,11865.5692804,680.546171104,5:30
Shan-Yuan_Chair,54.5,55.1849969518,21853.2587929,18723.2515237,49,151,18,7401.81567063,1121.02172368,3:15
Shan-Yuan_JumpGlide,57.7,58.0128716254,42059.3319284,37370.7842405,96,290,14,14455.5240609,998.652015192,6:0
Shan-Yuan_Rope,110.24,55.8169466363,55708.6699985,47794.8706781,82,162,14,4949.62910653,834.301993689,8:0
Shiyuan_Chair,7.58,49.4197970715,19273.7208579,15788.1730603,59,144,11,6426.93446374,608.313626003,3:15
Shiyuan_JumpGlide,7.58,47.7428828596,27834.1007072,23308.0603889,75,228,17,8621.17267455,991.54010208,4:45
Shiyuan_Rope,7.58,55.0209060034,43576.5575547,36909.4631983,131,312,11,13842.7801605,870.339894158,6:30
Steff_Chair,71.62,39.5158439398,15490.2108244,12440.6984498,39,146,18,6019.40163371,1399.372687,3:15
Steff_JumpGlide,9.54,54.6625663999,30775.0248831,26168.2258846,87,221,19,8989.66521911,1128.09760866,4:30
Steff_Rope,134.94,54.0800843267,39478.4615585,34510.875253,110,284,9,12214.8389968,756.278109354,6:0
Tingwei_Chair,0.0,55.7214340176,15490.5586569,11773.2030488,36,110,11,5021.96115306,891.113628521,2:15
Tingwei_JumpGlide,87.5,52.0968241224,30164.0611669,26100.12106,73,226,17,10094.4415443,1374.53375308,4:45
Tingwei_Rope,101.42,58.2791016121,47730.5842203,40573.1099618,106,307,12,15587.0658648,1534.82735455,6:45
"Yi-wei,Guo_Chair",0.0,60.2094210358,20230.365468,17832.2952228,53,142,10,6323.37440556,778.667298352,2:45
"Yi-wei,Guo_JumpGlide",9.54,55.732534279,31656.0794704,27645.9856477,94,226,10,9000.89512699,688.950494439,4:30
"Yi-wei,Guo_Rope",17.12,56.5924537481,29258.2985878,24382.6240727,80,214,14,8115.23390125,639.541939109,4:15
