,SSQ,mag_mean,mag,mag_sum,pulse_count,pulse_time,max_pulse_time,pulse_flow,max_pulse_flow,time
Allen_Chair,13.92,22.0797043601,25281.2614923,21437.8666019,85,447,32,9630.39239013,823.638989197,9:30
Allen_JumpGlide,31.04,19.5418778749,32771.7291962,27145.6748181,138,696,41,12323.5804586,741.373950711,13:45
Allen_Rope,9.54,21.6765868042,32905.0587688,27658.4111729,180,610,23,10670.684743,978.362446365,12:30
EliseCheng_Chair,7.58,24.81233537,19973.9299728,16733.4750366,70,337,34,6327.68711036,802.768377906,6:30
EliseCheng_JumpGlide,29.08,25.816755036,34233.0171777,29585.3439054,126,512,28,11103.1661699,1202.5573373,11:0
EliseCheng_Rope,17.12,25.5687613592,38532.1233683,32965.9862825,175,631,21,11894.7144847,492.035035329,12:30
Fanger_Chair,26.66,17.2230077273,21252.6290952,17387.734997,60,214,58,2821.37289194,1282.45223847,10:0
Fanger_JumpGlide,76.0,21.802704829,42558.8798262,36750.9832975,180,759,44,13687.4893247,1515.98714887,16:15
Fanger_Rope,93.12,26.4952127553,87381.2116671,79628.3172964,346,1296,38,27207.6439962,865.523704091,27:15
Fanny_Chair,0.0,24.9171582152,31121.5306108,27033.2299741,95,537,48,10834.543566,1210.00679394,10:15
Fanny_JumpGlide,17.12,26.2455708877,46060.9769079,40555.7494646,190,719,20,14364.6483458,671.038278859,14:30
Fanny_Rope,17.12,23.4717766988,52224.7031549,45908.4655956,218,845,20,16485.6287365,695.416318472,18:30
Johnny_Chair,7.58,14.3409651306,19761.84995,15938.5761255,94,474,51,8746.430487,1522.08792581,11:15
Johnny_JumpGlide,17.12,26.5307088456,56881.839765,49925.2537086,240,817,24,18789.8602969,648.092965335,17:45
Johnny_Rope,17.12,23.5979766778,41886.4086031,34816.9322177,207,733,18,13249.0629386,554.084881546,14:45
kao_Chair,7.58,17.0130595356,18084.8822864,14633.1525323,88,394,31,6595.80697968,784.422271419,8:45
kao_JumpGlide,43.0,18.1778555498,28502.8775021,24989.0361252,155,574,18,8983.54915067,657.684851942,13:0
kao_Rope,38.62,19.0415598363,32713.3997987,26517.5089196,167,683,21,10506.3089542,418.587653955,14:15
Lei_Chair,23.46,21.4861080493,23677.6910703,19233.7879347,99,424,36,8436.00119328,1011.89177879,9:0
Lei_JumpGlide,17.12,20.1316117591,32532.6846027,28029.8185985,149,618,75,10470.0485075,2004.9809523,13:15
Lei_Rope,17.12,22.9667514872,36356.3676043,30830.7387546,188,613,14,11142.3579176,445.235065773,13:0
Meng_Chair,0.0,20.1014805245,15900.2710949,12753.801247,67,322,40,5539.3183842,1259.32463262,6:30
Meng_JumpGlide,0.0,19.094990103,25682.7616885,21383.1137347,137,518,38,8203.08301196,1125.9427478,11:0
Meng_Rope,0.0,24.1024184585,34683.3801617,28362.9322928,146,580,22,10912.7775085,404.085878631,11:45
QianChen_Chair,0.0,13.8356366992,18844.1371842,15573.4954671,84,500,49,8826.73724656,1354.37117134,11:15
QianChen_JumpGlide,0.0,22.0472337996,32409.4336855,28694.4773952,141,587,34,10248.4303388,446.461461078,12:15
QianChen_Rope,13.92,21.7998233192,44929.4358608,38237.6208892,224,873,22,15201.8716341,619.5808315,17:0
Shan-Yuan_Chair,54.5,21.546517725,25575.7165396,22238.3672423,101,459,49,8682.39606406,1008.23901937,9:45
Shan-Yuan_JumpGlide,57.7,23.8446859625,51838.3472824,46235.932625,226,861,29,18456.881158,884.220637763,18:0
Shan-Yuan_Rope,110.24,23.1272508427,69325.8791238,60628.9474177,152,524,36,6833.97396043,1170.9800767,24:45
Shiyuan_Chair,7.58,19.1804128412,22421.9026114,18658.4686117,113,415,28,7872.39933905,637.184107637,9:30
Shiyuan_JumpGlide,7.58,19.7580173807,34556.7723989,29644.7509471,175,646,24,11698.4341324,688.767065682,14:30
Shiyuan_Rope,7.58,22.5273407623,53524.9616512,45963.5679477,249,966,21,17217.9755388,724.589012971,19:45
Steff_Chair,71.62,15.0590822206,17694.4216092,14453.3479314,95,427,37,7096.55441751,1112.22268822,9:45
Steff_JumpGlide,9.54,22.2872225954,37620.831741,32721.2329785,186,669,39,11515.8868404,1019.88973757,14:0
Steff_Rope,134.94,21.6028428764,47267.0202135,41774.898681,218,866,24,14762.9467076,839.502961838,18:0
Tingwei_Chair,0.0,21.371504352,17802.4631252,13908.4277702,66,324,33,5936.32355882,944.829821314,6:45
Tingwei_JumpGlide,87.5,20.5043905152,35616.1263249,30911.3558648,159,670,37,12378.4188472,1407.57310008,14:15
Tingwei_Rope,101.42,23.6354024429,58072.1838021,49686.4171455,247,953,30,18952.0538776,1269.97253223,20:15
"Yi-wei,Guo_Chair",0.0,24.1284576549,24273.2284008,21805.0185271,106,394,28,7711.31568823,1014.95729975,8:15
"Yi-wei,Guo_JumpGlide",9.54,23.028293586,39240.2122705,34767.2456412,221,688,18,11802.0618972,603.142002103,14:0
"Yi-wei,Guo_Rope",17.12,24.2008037378,37535.4465973,32001.7675489,193,617,18,11174.169684,441.581685257,12:45
