,SSQ,mag_mean,mag,mag_sum,pulse_count,pulse_time,max_pulse_time,pulse_flow,max_pulse_flow,time
Allen_Chair,13.92,24.0894732954,27582.4469232,23594.9416344,85,445,32,10572.9697419,886.525495403,9:30
Allen_JumpGlide,31.04,21.1912275711,35537.6886367,29667.4804203,140,687,41,13397.5107901,782.638636768,13:45
Allen_Rope,9.54,23.5898178965,35809.3435669,30297.1451412,184,609,23,11612.625566,1078.60861484,12:30
EliseCheng_Chair,7.58,27.08079428,21800.0393954,18436.5708494,66,336,33,6987.5278347,903.95462744,6:30
EliseCheng_JumpGlide,29.08,28.1722385609,37356.3883317,32506.5168684,127,514,28,12234.98189,1311.03866947,11:0
EliseCheng_Rope,17.12,28.2237199302,42533.1459349,36656.9938461,180,622,19,13062.084926,515.300848954,12:30
Fanger_Chair,26.66,18.7049393088,23081.2717288,19103.3293366,64,224,58,3053.71441899,1282.30605609,10:0
Fanger_JumpGlide,76.0,23.909651145,46671.639035,40612.1960282,179,746,44,15081.6856337,1667.72017731,16:15
Fanger_Rope,93.12,29.1077302516,95997.2943699,87883.7112132,351,1300,38,29822.2878687,917.554059934,27:15
Fanny_Chair,0.0,27.175715403,33942.4685383,29668.1304318,97,538,48,11890.1672417,1292.79461965,10:15
Fanny_JumpGlide,17.12,28.5716630686,50143.2686853,44395.5171323,184,720,20,15775.3737318,739.588907866,14:30
Fanny_Rope,17.12,25.7143495893,57214.4278362,50581.5543399,216,848,21,18076.801526,763.643883328,18:30
Johnny_Chair,7.58,15.6047474292,21503.3419574,17487.1584145,105,478,54,9444.5546776,1716.33220995,11:15
Johnny_JumpGlide,17.12,28.9618815507,62094.2740447,54856.0089998,241,816,24,20495.3121767,703.439220802,17:45
Johnny_Rope,17.12,25.6080533661,45454.2947249,38067.7691872,205,729,21,14364.5649615,800.185720816,14:45
kao_Chair,7.58,18.6896316698,19867.078465,16238.3720001,90,390,31,7247.96046141,812.670768227,8:45
kao_JumpGlide,43.0,19.8980712032,31200.1756467,27514.3217573,153,566,18,9944.41169191,727.128759979,13:0
kao_Rope,38.62,20.6675556088,35506.8605359,29083.2934419,165,681,20,11372.2593376,459.77523445,14:15
Lei_Chair,23.46,23.2479926317,25619.2878801,21039.3439568,100,421,36,9145.96352544,1069.47626669,9:0
Lei_JumpGlide,17.12,21.8315837146,35279.8392828,30571.4005987,151,610,40,11395.673473,1270.66722225,13:15
Lei_Rope,17.12,25.0664076801,39680.1233576,33871.8024555,188,613,14,12164.2796928,483.675962355,13:0
Meng_Chair,0.0,21.7762277217,17224.9961279,13959.9033821,66,321,40,6014.12968561,1395.56200044,6:30
Meng_JumpGlide,0.0,20.6573207884,27784.0964603,23340.1015899,133,515,38,8947.84555194,1205.69912304,11:0
Meng_Rope,0.0,25.9801121684,37385.3814103,30789.6176397,146,589,22,11795.7634687,448.132344181,11:45
QianChen_Chair,0.0,14.9259709559,20329.1724419,16951.6370783,87,491,49,9519.71331398,1412.11327476,11:15
QianChen_JumpGlide,0.0,24.0040126559,35285.8986042,31405.8395172,142,580,33,11238.7013193,471.184962433,12:15
QianChen_Rope,13.92,23.8926417505,49242.7346477,42251.9628623,229,874,22,16558.4970718,688.511267938,17:0
Shan-Yuan_Chair,54.5,23.6335078999,28052.9738772,24618.9756375,104,459,47,9526.65025862,1112.69254368,9:45
Shan-Yuan_JumpGlide,57.7,26.1303204485,56807.3166551,50923.5427607,231,869,29,20355.2694803,985.523653303,18:0
Shan-Yuan_Rope,110.24,25.713855361,77074.6755922,67937.1023588,152,518,36,7110.39719158,1255.35634533,24:45
Shiyuan_Chair,7.58,20.5871224451,24066.3461384,20219.1488047,111,414,28,8484.93849316,708.365424016,9:30
Shiyuan_JumpGlide,7.58,21.485710308,37578.5073286,32502.614679,174,637,24,12859.3280055,760.344886187,14:30
Shiyuan_Rope,7.58,24.5579195457,58349.6168405,50465.9810215,247,958,21,18921.6452317,787.058101534,19:45
Steff_Chair,71.62,16.1048237597,18923.1679177,15563.7455846,95,428,37,7614.84423098,1182.46857739,9:45
Steff_JumpGlide,9.54,24.2555841623,40943.426066,35833.0136039,190,672,39,12624.6960762,1101.95240954,14:0
Steff_Rope,134.94,23.668317028,51786.2776572,46025.0644414,226,867,19,16175.7351485,927.613151155,18:0
Tingwei_Chair,0.0,23.2162376716,19339.1259804,15351.5228613,64,326,34,6452.04431354,1016.55016636,6:45
Tingwei_JumpGlide,87.5,22.3607347222,38840.5962125,33935.9837655,152,672,42,13621.4512631,1620.80818126,14:15
Tingwei_Rope,101.42,25.9557481229,63773.273138,54950.4887629,240,952,35,20892.1761769,1394.95687208,20:15
"Yi-wei,Guo_Chair",0.0,26.2749487648,26432.5984574,23854.0638838,101,391,28,8483.04552117,1098.38643687,8:15
"Yi-wei,Guo_JumpGlide",9.54,24.9252881007,42472.6909235,37804.4585806,219,687,18,12896.9536678,552.995664263,14:0
"Yi-wei,Guo_Rope",17.12,26.3195283509,40821.5884722,35036.6043112,193,605,17,12296.656673,475.576446703,12:45
