,SSQ,mag_mean,mag,mag_sum,pulse_count,pulse_time,max_pulse_time,pulse_flow,max_pulse_flow,time
Allen_Chair,13.92,2.00976893526,2301.18543088,2236.60091887,88,371,20,1098.00680843,105.630794691,9:30
Allen_JumpGlide,31.04,1.64934969615,2765.95944045,2648.98314128,162,593,21,1229.31045258,69.5062114701,13:45
Allen_Rope,9.54,1.91323109234,2904.28479817,2774.51423061,173,538,19,1142.62031725,102.65047306,12:30
EliseCheng_Chair,7.58,2.26845891005,1826.10942259,1768.22335146,66,286,29,749.304708405,101.815978706,6:30
EliseCheng_JumpGlide,29.08,2.35548352488,3123.37115399,3032.86572868,127,472,17,1271.74657256,66.735694811,11:0
EliseCheng_Rope,17.12,2.65495857105,4001.02256657,3849.76114296,191,571,14,1399.5778108,44.0547586312,12:30
Fanger_Chair,26.66,1.48193158147,1828.6426335,1778.65279633,52,204,28,295.501817553,53.8421239327,10:0
Fanger_JumpGlide,76.0,2.10694631598,4112.7592088,4005.83091323,197,707,25,1633.9763519,106.134300427,16:15
Fanger_Rope,93.12,2.6125174963,8616.08270281,8461.75344976,384,1222,21,2995.55199469,85.2486889949,27:15
Fanny_Chair,0.0,2.25855718777,2820.93792753,2749.80547441,98,450,22,1191.4385713,92.8671684524,10:15
Fanny_JumpGlide,17.12,2.3260921809,4082.29177748,3976.88614567,164,632,19,1644.97244312,68.5506290073,14:30
Fanny_Rope,17.12,2.24257289048,4989.72468131,4843.41398184,228,812,22,1817.46235826,72.8095927415,18:30
Johnny_Chair,7.58,1.26378229851,1741.49200735,1638.22494977,123,449,30,782.110707713,61.0687916353,11:15
Johnny_JumpGlide,17.12,2.43117270504,5212.4342796,5083.9589153,271,779,14,1893.61471274,65.1837492454,17:45
Johnny_Rope,17.12,2.01007668833,3567.88612179,3419.61128166,213,652,27,1282.5017894,95.1462815914,14:45
kao_Chair,7.58,1.67657213413,1782.19617858,1683.08549912,76,332,27,760.809794212,100.726547317,8:45
kao_JumpGlide,43.0,1.72021565344,2697.29814459,2611.57152577,137,510,19,1079.45773505,69.4439080368,13:0
kao_Rope,38.62,1.62599577253,2793.4607372,2673.51693216,171,557,17,1070.56205242,41.1875804951,14:15
Lei_Chair,23.46,1.76188458242,1941.59680983,1885.08408997,102,366,18,815.674540603,59.2561445047,9:0
Lei_JumpGlide,17.12,1.6999719555,2747.15468008,2658.61959439,162,559,29,1087.97588552,91.6910205465,13:15
Lei_Rope,17.12,2.09965619285,3323.75575329,3190.86982517,176,579,25,1204.43957156,73.5747847956,13:0
Meng_Chair,0.0,1.6747471972,1324.72503299,1279.47543126,70,258,27,560.471940773,124.775094278,6:30
Meng_JumpGlide,0.0,1.56233068538,2101.33477184,2036.91769458,132,460,20,834.398123551,69.4595022291,11:0
Meng_Rope,0.0,1.87769370992,2702.00124858,2567.71193126,165,536,21,1046.03952909,48.3428385991,11:45
QianChen_Chair,0.0,1.09033425672,1485.03525765,1442.49084129,90,437,37,753.082799074,95.3862975752,11:15
QianChen_JumpGlide,0.0,1.9567788563,2876.46491876,2804.90602084,146,505,13,1156.22808669,56.5583336653,12:15
QianChen_Rope,13.92,2.09281843131,4313.29878693,4159.86224512,239,767,17,1603.0041411,57.2658928389,17:0
Shan-Yuan_Chair,54.5,2.08699017487,2477.25733758,2429.76756716,132,431,23,959.403293745,89.6014043565,9:45
Shan-Yuan_JumpGlide,57.7,2.28563448607,4968.96937272,4857.5373531,230,806,17,2045.48368976,74.6753884637,18:0
Shan-Yuan_Rope,110.24,2.58660451834,7748.7964684,7556.67143088,132,314,24,579.126117591,53.2341073794,24:45
Shiyuan_Chair,7.58,1.40670960391,1644.44352697,1607.6573861,99,340,17,730.372528449,81.60872248,9:30
Shiyuan_JumpGlide,7.58,1.72769292725,3021.73492976,2942.58753901,151,566,36,1275.01733054,91.4764820085,14:30
Shiyuan_Rope,7.58,2.03057878337,4824.65518929,4687.1473234,273,890,21,1891.67616279,94.5945929184,19:45
Steff_Chair,71.62,1.0457415391,1228.74630845,1195.75344455,90,382,15,585.915962906,52.5011622608,9:45
Steff_JumpGlide,9.54,1.96836156695,3322.59432502,3226.99933424,200,616,25,1302.69838219,89.5742243287,14:0
Steff_Rope,134.94,2.06547415164,4519.25744379,4405.94653365,229,774,18,1712.47699989,89.0491555533,18:0
Tingwei_Chair,0.0,1.84473331952,1536.66285516,1486.46335311,70,286,35,630.386486142,127.160557133,6:45
Tingwei_JumpGlide,87.5,1.85634420699,3224.46988754,3140.77735658,147,596,27,1375.40201423,122.364987688,14:15
Tingwei_Rope,101.42,2.32034568006,5701.0893359,5497.2296425,232,871,24,2174.50979355,97.1882303074,20:15
"Yi-wei,Guo_Chair",0.0,2.14649110993,2159.37005659,2108.34355257,102,359,18,873.303539524,94.2895814594,8:15
"Yi-wei,Guo_JumpGlide",9.54,1.89699451467,3232.478653,3146.35742723,200,630,18,1263.04475169,46.5489287894,14:0
"Yi-wei,Guo_Rope",17.12,2.11872461311,3286.14187493,3183.13327034,182,569,16,1322.26885467,54.4967909225,12:45
