,SSQ,mag_mean,mag,mag_sum,pulse_count,pulse_time,max_pulse_time,pulse_flow,max_pulse_flow,time
Allen_Chair,13.92,3.788409003,2170.758359,2118.232611,59,185,16,1025.925583,147.0562156,04:45
Allen_JumpGlide,31.04,2.8858702,2421.245098,2309.827347,94,291,14,1068.562324,69.14772138,06:45
Allen_Rope,9.54,3.319805788,2519.732593,2387.1944,104,272,13,961.5150299,111.5506127,06:15
EliseCheng_Chair,7.58,4.188714696,1688.052022,1626.677676,57,146,14,692.4184358,81.12332526,03:15
EliseCheng_JumpGlide,29.08,4.126815572,2736.078724,2632.100035,79,236,14,1102.393835,107.9493893,05:30
EliseCheng_Rope,17.12,4.563201436,3440.653882,3284.789379,115,291,10,1182.899081,69.50174619,06:15
Fanger_Chair,26.66,2.741081198,1691.188213,1642.257929,42,100,14,261.6874201,52.5983381,05:00
Fanger_JumpGlide,76,3.731405148,3641.851424,3534.870089,114,360,15,1413.075591,103.9573085,08:00
Fanger_Rope,93.12,4.647511612,7663.746648,7499.161195,247,603,13,2637.3843,86.33669562,13:30
Fanny_Chair,0,4.226488752,2641.55547,2576.28074,74,240,16,1110.480336,82.40871957,05:00
Fanny_JumpGlide,17.12,4.142477522,3637.095264,3526.550321,105,320,18,1432.404579,142.3107333,07:15
Fanny_Rope,17.12,4.003544466,4455.94499,4303.676032,148,398,14,1624.413025,101.6875839,09:15
Johnny_Chair,7.58,2.359647715,1625.797276,1529.195193,89,223,11,711.4695726,62.27075863,05:30
Johnny_JumpGlide,17.12,4.293564411,4602.701049,4478.012501,156,390,9,1612.815604,70.06280434,08:45
Johnny_Rope,17.12,3.565579172,3166.234305,3012.600127,136,327,14,1119.310777,84.98196544,07:15
kao_Chair,7.58,3.097462446,1647.850021,1555.539578,53,162,14,700.9085904,92.28325071,04:15
kao_JumpGlide,43,3.016685382,2365.081339,2276.410313,85,251,13,918.3403278,105.0818599,06:30
kao_Rope,38.62,2.885256461,2478.4353,2360.023861,92,288,13,941.9210185,55.76026856,07:00
Lei_Chair,23.46,3.175253551,1749.564707,1694.215293,70,191,9,735.9427424,48.47840682,04:30
Lei_JumpGlide,17.12,3.099998215,2504.798558,2414.819905,108,278,18,976.8140069,105.8531558,06:30
Lei_Rope,17.12,3.559207637,2818.892449,2668.617095,118,289,11,1014.909224,57.01919181,06:30
Meng_Chair,0,3.079319779,1219.410633,1175.426334,46,132,12,517.9713422,119.0776446,03:15
Meng_JumpGlide,0,2.748686357,1849.865918,1781.810156,81,247,22,703.8533071,87.08056139,05:30
Meng_Rope,0,3.331800989,2398.896712,2269.916071,95,277,13,910.7159304,51.14267536,06:00
QianChen_Chair,0,2.010155556,1368.915933,1322.65312,59,215,18,698.2335898,92.80383938,05:30
QianChen_JumpGlide,0,3.496796514,2570.145438,2494.384016,99,266,12,999.1637476,62.87634934,06:00
QianChen_Rope,13.92,3.635275615,3747.969159,3587.059074,142,379,14,1358.829216,89.11678649,08:30
Shan-Yuan_Chair,54.5,3.798615422,2256.377561,2205.134946,82,216,13,871.6523036,90.7704019,04:45
Shan-Yuan_JumpGlide,57.7,3.975691186,4321.576319,4214.717914,142,401,29,1736.672153,144.4981238,09:00
Shan-Yuan_Rope,110.24,4.567119244,6844.647894,6639.772779,74,164,18,482.7658986,85.42976748,12:15
Shiyuan_Chair,7.58,2.573412137,1505.4461,1466.441942,63,177,11,656.7092286,79.39376084,04:45
Shiyuan_JumpGlide,7.58,3.044660673,2664.078089,2587.631558,97,282,16,1078.044989,82.58357747,07:15
Shiyuan_Rope,7.58,3.640581276,4325.010555,4181.233476,170,435,15,1668.683873,70.27938054,09:45
Steff_Chair,71.62,1.890630552,1111.690765,1077.831061,58,194,16,527.6614821,70.06959868,04:45
Steff_JumpGlide,9.54,3.48135267,2938.261653,2838.079962,121,311,12,1115.485314,87.69839027,07:00
Steff_Rope,134.94,3.680711873,4026.698789,3909.447116,145,398,15,1506.766987,76.36899335,09:00
Tingwei_Chair,0,3.403082764,1419.085513,1371.523191,45,138,16,578.4132289,116.2299468,03:15
Tingwei_JumpGlide,87.5,3.357645361,2917.793818,2840.001312,95,288,21,1224.1244,150.6928858,07:00
Tingwei_Rope,101.42,4.166176761,5120.23124,4921.066609,140,429,23,1961.672379,196.1334495,10:00
"Yi-wei,Guo_Chair",0,3.868602293,1945.906953,1893.131006,65,183,13,786.3770687,92.43460666,04:00
"Yi-wei,Guo_JumpGlide",9.54,3.324027009,2832.071012,2727.841736,121,313,12,1083.41996,56.65827388,07:00
"Yi-wei,Guo_Rope",17.12,3.644880172,2828.427013,2724.999327,115,296,14,1101.873733,56.29252927,06:15
,,,,,,,,,,
,,0.257975431,0.582859146,,,,,,,
